Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.989461,0.99106,0.414863,0.99026,2396,0,2809068885,2546949881.000000,0.000000,525467,.,.,296594.000000,194071.000000,,1.52827573414,519929,.,.,294054.000000,192502.000000,,1.52753737624,5538,.,.,2540.000000,1569.000000,,1.61886551944,934197,.,.,594900.000000,315368.000000,,1.88636767205,541746,.,.,338640.000000,192550.000000,,1.75871202285,4887,.,.,3793.000000,1064.000000,,3.56484962406,387564,.,.,252467.000000,121754.000000,,2.0735827981
INDEL,*,*,PASS,*,QUAL,*,0.989461,0.99106,0.414863,0.99026,2396,0,2809068885,2546949881.000000,0.000000,525467,.,.,296594.000000,194071.000000,,1.52827573414,519929,.,.,294054.000000,192502.000000,,1.52753737624,5538,.,.,2540.000000,1569.000000,,1.61886551944,934197,.,.,594900.000000,315368.000000,,1.88636767205,541746,.,.,338640.000000,192550.000000,,1.75871202285,4887,.,.,3793.000000,1064.000000,,3.56484962406,387564,.,.,252467.000000,121754.000000,,2.0735827981
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.990085,0.99318,0.490913,0.99163,1314,0,83977437.000000,62848827.000000,0.000000,229964,.,.,127616.000000,85987.000000,,1.48413132218,227684,.,.,126650.000000,85506.000000,,1.48118260707,2280,.,.,966.000000,481.000000,,2.00831600832,470324,.,.,294647.000000,163689.000000,,1.80004154219,237803,.,.,147511.000000,85512.000000,,1.72503274394,1633,.,.,995.000000,625.000000,,1.592,230888,.,.,146141.000000,77552.000000,,1.88442593357
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.990085,0.99318,0.490913,0.99163,1314,0,83977437.000000,62848827.000000,0.000000,229964,.,.,127616.000000,85987.000000,,1.48413132218,227684,.,.,126650.000000,85506.000000,,1.48118260707,2280,.,.,966.000000,481.000000,,2.00831600832,470324,.,.,294647.000000,163689.000000,,1.80004154219,237803,.,.,147511.000000,85512.000000,,1.72503274394,1633,.,.,995.000000,625.000000,,1.592,230888,.,.,146141.000000,77552.000000,,1.88442593357
INDEL,*,AllTandemRepeats_201to10000bp_slop5,ALL,*,QUAL,*,0.954533,0.981207,0.833076,0.967686,53,0,38076769.000000,13750026.000000,0.000000,7500,.,.,4427.000000,2696.000000,,1.64206231454,7159,.,.,4201.000000,2614.000000,,1.60711553175,341,.,.,226.000000,82.000000,,2.75609756098,45266,.,.,30038.000000,14367.000000,,2.09076355537,7414,.,.,4702.000000,2624.000000,,1.79192073171,142,.,.,115.000000,26.000000,,4.42307692308,37710,.,.,25221.000000,11717.000000,,2.15251344201
INDEL,*,AllTandemRepeats_201to10000bp_slop5,PASS,*,QUAL,*,0.954533,0.981207,0.833076,0.967686,53,0,38076769.000000,13750026.000000,0.000000,7500,.,.,4427.000000,2696.000000,,1.64206231454,7159,.,.,4201.000000,2614.000000,,1.60711553175,341,.,.,226.000000,82.000000,,2.75609756098,45266,.,.,30038.000000,14367.000000,,2.09076355537,7414,.,.,4702.000000,2624.000000,,1.79192073171,142,.,.,115.000000,26.000000,,4.42307692308,37710,.,.,25221.000000,11717.000000,,2.15251344201
INDEL,*,AllTandemRepeats_51to200bp_slop5,ALL,*,QUAL,*,0.977736,0.987705,0.599089,0.982696,336,0,26604713.000000,19569916.000000,0.000000,32250,.,.,17841.000000,9337.000000,,1.91078504873,31532,.,.,17495.000000,9231.000000,,1.89524428556,718,.,.,346.000000,106.000000,,3.2641509434,88456,.,.,63718.000000,21487.000000,,2.9654209522,35027,.,.,24740.000000,9235.000000,,2.67893881971,436,.,.,249.000000,183.000000,,1.3606557377,52993,.,.,38729.000000,12069.000000,,3.20896511724
INDEL,*,AllTandemRepeats_51to200bp_slop5,PASS,*,QUAL,*,0.977736,0.987705,0.599089,0.982696,336,0,26604713.000000,19569916.000000,0.000000,32250,.,.,17841.000000,9337.000000,,1.91078504873,31532,.,.,17495.000000,9231.000000,,1.89524428556,718,.,.,346.000000,106.000000,,3.2641509434,88456,.,.,63718.000000,21487.000000,,2.9654209522,35027,.,.,24740.000000,9235.000000,,2.67893881971,436,.,.,249.000000,183.000000,,1.3606557377,52993,.,.,38729.000000,12069.000000,,3.20896511724
INDEL,*,AllTandemRepeats_gt10000bp_slop5,ALL,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,4671,.,.,3099.000000,1524.000000,,2.03346456693,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,4671,.,.,3099.000000,1524.000000,,2.03346456693
INDEL,*,AllTandemRepeats_gt10000bp_slop5,PASS,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,4671,.,.,3099.000000,1524.000000,,2.03346456693,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,4671,.,.,3099.000000,1524.000000,,2.03346456693
