Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.98643,0.990325,0.414393,0.988373,2389,0,2796132093,2530411962.000000,0.000000,522389,.,.,293850.000000,194087.000000,,1.51401175761,515300,.,.,290307.000000,192003.000000,,1.51199200012,7089,.,.,3543.000000,2084.000000,,1.70009596929,925527,.,.,587924.000000,313908.000000,,1.87291817985,536751,.,.,334298.000000,192024.000000,,1.74091780194,5244,.,.,4132.000000,1085.000000,,3.80829493088,383532,.,.,249494.000000,120799.000000,,2.06536477951
INDEL,*,*,PASS,*,QUAL,*,0.98643,0.990325,0.414393,0.988373,2389,0,2796132093,2530411962.000000,0.000000,522389,.,.,293850.000000,194087.000000,,1.51401175761,515300,.,.,290307.000000,192003.000000,,1.51199200012,7089,.,.,3543.000000,2084.000000,,1.70009596929,925527,.,.,587924.000000,313908.000000,,1.87291817985,536751,.,.,334298.000000,192024.000000,,1.74091780194,5244,.,.,4132.000000,1085.000000,,3.80829493088,383532,.,.,249494.000000,120799.000000,,2.06536477951
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.988708,0.993264,0.49296,0.990981,1278,0,83498987.000000,62521736.000000,0.000000,227600,.,.,126268.000000,85146.000000,,1.48295868273,225030,.,.,125100.000000,84575.000000,,1.47916050842,2570,.,.,1168.000000,571.000000,,2.04553415061,466719,.,.,292505.000000,162371.000000,,1.801460852,235051,.,.,145756.000000,84582.000000,,1.72325080986,1594,.,.,972.000000,612.000000,,1.58823529412,230074,.,.,145777.000000,77177.000000,,1.88886585382
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.988708,0.993264,0.49296,0.990981,1278,0,83498987.000000,62521736.000000,0.000000,227600,.,.,126268.000000,85146.000000,,1.48295868273,225030,.,.,125100.000000,84575.000000,,1.47916050842,2570,.,.,1168.000000,571.000000,,2.04553415061,466719,.,.,292505.000000,162371.000000,,1.801460852,235051,.,.,145756.000000,84582.000000,,1.72325080986,1594,.,.,972.000000,612.000000,,1.58823529412,230074,.,.,145777.000000,77177.000000,,1.88886585382
INDEL,*,AllTandemRepeats_201to10000bp_slop5,ALL,*,QUAL,*,0.945098,0.977812,0.853744,0.961177,49,0,34889739.000000,12380476.000000,0.000000,5865,.,.,3466.000000,2117.000000,,1.63722248465,5543,.,.,3245.000000,2042.000000,,1.58912830558,322,.,.,221.000000,75.000000,,2.94666666667,40060,.,.,26547.000000,12779.000000,,2.07739259723,5729,.,.,3608.000000,2050.000000,,1.76,130,.,.,113.000000,16.000000,,7.0625,34201,.,.,22826.000000,10713.000000,,2.13068234855
INDEL,*,AllTandemRepeats_201to10000bp_slop5,PASS,*,QUAL,*,0.945098,0.977812,0.853744,0.961177,49,0,34889739.000000,12380476.000000,0.000000,5865,.,.,3466.000000,2117.000000,,1.63722248465,5543,.,.,3245.000000,2042.000000,,1.58912830558,322,.,.,221.000000,75.000000,,2.94666666667,40060,.,.,26547.000000,12779.000000,,2.07739259723,5729,.,.,3608.000000,2050.000000,,1.76,130,.,.,113.000000,16.000000,,7.0625,34201,.,.,22826.000000,10713.000000,,2.13068234855
INDEL,*,AllTandemRepeats_51to200bp_slop5,ALL,*,QUAL,*,0.974483,0.98741,0.622745,0.980904,376,0,30037113.000000,20562777.000000,0.000000,35074,.,.,19121.000000,10280.000000,,1.86001945525,34179,.,.,18668.000000,10134.000000,,1.84211565029,895,.,.,453.000000,146.000000,,3.10273972603,102326,.,.,73142.000000,25553.000000,,2.86236449732,38117,.,.,26815.000000,10138.000000,,2.64499901361,486,.,.,280.000000,202.000000,,1.38613861386,63723,.,.,46047.000000,15213.000000,,3.02681916782
INDEL,*,AllTandemRepeats_51to200bp_slop5,PASS,*,QUAL,*,0.974483,0.98741,0.622745,0.980904,376,0,30037113.000000,20562777.000000,0.000000,35074,.,.,19121.000000,10280.000000,,1.86001945525,34179,.,.,18668.000000,10134.000000,,1.84211565029,895,.,.,453.000000,146.000000,,3.10273972603,102326,.,.,73142.000000,25553.000000,,2.86236449732,38117,.,.,26815.000000,10138.000000,,2.64499901361,486,.,.,280.000000,202.000000,,1.38613861386,63723,.,.,46047.000000,15213.000000,,3.02681916782
INDEL,*,AllTandemRepeats_gt10000bp_slop5,ALL,*,QUAL,*,0.0,,1.0,,0,0,6726259.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1684,.,.,1014.000000,627.000000,,1.61722488038,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1684,.,.,1014.000000,627.000000,,1.61722488038
INDEL,*,AllTandemRepeats_gt10000bp_slop5,PASS,*,QUAL,*,0.0,,1.0,,0,0,6726259.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1684,.,.,1014.000000,627.000000,,1.61722488038,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,1684,.,.,1014.000000,627.000000,,1.61722488038
