Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.985794,0.984309,0.423046,0.985051,2447,0,2796132093,2530411962.000000,0.000000,522389,.,.,293850.000000,194087.000000,,1.51401175761,514968,.,.,290086.000000,191894.000000,,1.51169916725,7421,.,.,3764.000000,2193.000000,,1.71637026904,944546,.,.,608172.000000,312660.000000,,1.94515448091,536409,.,.,334067.000000,191913.000000,,1.7407210559,8551,.,.,7434.000000,1087.000000,,6.83900643974,399586,.,.,266671.000000,119660.000000,,2.22857262243
INDEL,*,*,PASS,*,QUAL,*,0.985794,0.984309,0.423046,0.985051,2447,0,2796132093,2530411962.000000,0.000000,522389,.,.,293850.000000,194087.000000,,1.51401175761,514968,.,.,290086.000000,191894.000000,,1.51169916725,7421,.,.,3764.000000,2193.000000,,1.71637026904,944546,.,.,608172.000000,312660.000000,,1.94515448091,536409,.,.,334067.000000,191913.000000,,1.7407210559,8551,.,.,7434.000000,1087.000000,,6.83900643974,399586,.,.,266671.000000,119660.000000,,2.22857262243
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.988453,0.992109,0.496097,0.990278,1280,0,83498987.000000,62521736.000000,0.000000,227600,.,.,126268.000000,85146.000000,,1.48295868273,224972,.,.,125062.000000,84555.000000,,1.47906096623,2628,.,.,1206.000000,591.000000,,2.04060913706,470049,.,.,296253.000000,161935.000000,,1.82945626332,234990,.,.,145714.000000,84562.000000,,1.72316170384,1869,.,.,1252.000000,607.000000,,2.0626029654,233190,.,.,149287.000000,76766.000000,,1.94470208165
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.988453,0.992109,0.496097,0.990278,1280,0,83498987.000000,62521736.000000,0.000000,227600,.,.,126268.000000,85146.000000,,1.48295868273,224972,.,.,125062.000000,84555.000000,,1.47906096623,2628,.,.,1206.000000,591.000000,,2.04060913706,470049,.,.,296253.000000,161935.000000,,1.82945626332,234990,.,.,145714.000000,84562.000000,,1.72316170384,1869,.,.,1252.000000,607.000000,,2.0626029654,233190,.,.,149287.000000,76766.000000,,1.94470208165
INDEL,*,AllTandemRepeats_201to10000bp_slop5,ALL,*,QUAL,*,0.943734,0.970483,0.858681,0.956922,53,0,34889739.000000,12380476.000000,0.000000,5865,.,.,3466.000000,2117.000000,,1.63722248465,5535,.,.,3241.000000,2038.000000,,1.59028459274,330,.,.,225.000000,79.000000,,2.84810126582,41714,.,.,28302.000000,12669.000000,,2.23395690268,5721,.,.,3604.000000,2046.000000,,1.761485826,174,.,.,158.000000,15.000000,,10.5333333333,35819,.,.,24540.000000,10608.000000,,2.31334841629
INDEL,*,AllTandemRepeats_201to10000bp_slop5,PASS,*,QUAL,*,0.943734,0.970483,0.858681,0.956922,53,0,34889739.000000,12380476.000000,0.000000,5865,.,.,3466.000000,2117.000000,,1.63722248465,5535,.,.,3241.000000,2038.000000,,1.59028459274,330,.,.,225.000000,79.000000,,2.84810126582,41714,.,.,28302.000000,12669.000000,,2.23395690268,5721,.,.,3604.000000,2046.000000,,1.761485826,174,.,.,158.000000,15.000000,,10.5333333333,35819,.,.,24540.000000,10608.000000,,2.31334841629
INDEL,*,AllTandemRepeats_51to200bp_slop5,ALL,*,QUAL,*,0.973513,0.984718,0.62572,0.979084,383,0,30037113.000000,20562777.000000,0.000000,35074,.,.,19121.000000,10280.000000,,1.86001945525,34145,.,.,18646.000000,10123.000000,,1.84194408772,929,.,.,475.000000,157.000000,,3.02547770701,103329,.,.,74256.000000,25444.000000,,2.91840905518,38083,.,.,26792.000000,10127.000000,,2.64560086896,591,.,.,385.000000,199.000000,,1.93467336683,64655,.,.,47079.000000,15118.000000,,3.1141023945
INDEL,*,AllTandemRepeats_51to200bp_slop5,PASS,*,QUAL,*,0.973513,0.984718,0.62572,0.979084,383,0,30037113.000000,20562777.000000,0.000000,35074,.,.,19121.000000,10280.000000,,1.86001945525,34145,.,.,18646.000000,10123.000000,,1.84194408772,929,.,.,475.000000,157.000000,,3.02547770701,103329,.,.,74256.000000,25444.000000,,2.91840905518,38083,.,.,26792.000000,10127.000000,,2.64560086896,591,.,.,385.000000,199.000000,,1.93467336683,64655,.,.,47079.000000,15118.000000,,3.1141023945
INDEL,*,AllTandemRepeats_gt10000bp_slop5,ALL,*,QUAL,*,0.0,,1.0,,0,0,6726259.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,4076,.,.,3654.000000,388.000000,,9.4175257732,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,4076,.,.,3654.000000,388.000000,,9.4175257732
INDEL,*,AllTandemRepeats_gt10000bp_slop5,PASS,*,QUAL,*,0.0,,1.0,,0,0,6726259.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,4076,.,.,3654.000000,388.000000,,9.4175257732,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,4076,.,.,3654.000000,388.000000,,9.4175257732
INDEL,*,AllTandemRepeats_gt100bp_slop5,ALL,*,QUAL,*,0.960896,0.977692,0.788159,0.969221,174,0,53647560.000000,20605620.000000,0.000000,16699,.,.,9823.000000,5437.000000,,1.80669486849,16046,.,.,9411.000000,5314.000000,,1.77098231088,653,.,.,412.000000,123.000000,,3.34959349593,81679,.,.,57161.000000,22513.000000,,2.53902189846,16917,.,.,11230.000000,5321.000000,,2.11050554407,386,.,.,298.000000,85.000000,,3.50588235294,64376,.,.,45633.000000,17107.000000,,2.66750453031
INDEL,*,AllTandemRepeats_gt100bp_slop5,PASS,*,QUAL,*,0.960896,0.977692,0.788159,0.969221,174,0,53647560.000000,20605620.000000,0.000000,16699,.,.,9823.000000,5437.000000,,1.80669486849,16046,.,.,9411.000000,5314.000000,,1.77098231088,653,.,.,412.000000,123.000000,,3.34959349593,81679,.,.,57161.000000,22513.000000,,2.53902189846,16917,.,.,11230.000000,5321.000000,,2.11050554407,386,.,.,298.000000,85.000000,,3.50588235294,64376,.,.,45633.000000,17107.000000,,2.66750453031
INDEL,*,AllTandemRepeats_lt51bp_slop5,ALL,*,QUAL,*,0.984469,0.99078,0.426299,0.987615,668,0,38752605.000000,30519825.000000,0.000000,94137,.,.,49988.000000,27447.000000,,1.82125551062,92675,.,.,49348.000000,27119.000000,,1.81968361665,1462,.,.,640.000000,328.000000,,1.9512195122,180920,.,.,125349.000000,44927.000000,,2.79005942974,102837,.,.,70277.000000,27125.000000,,2.59085714286,957,.,.,618.000000,325.000000,,1.90153846154,77126,.,.,54454.000000,17477.000000,,3.11575213137
INDEL,*,AllTandemRepeats_lt51bp_slop5,PASS,*,QUAL,*,0.984469,0.99078,0.426299,0.987615,668,0,38752605.000000,30519825.000000,0.000000,94137,.,.,49988.000000,27447.000000,,1.82125551062,92675,.,.,49348.000000,27119.000000,,1.81968361665,1462,.,.,640.000000,328.000000,,1.9512195122,180920,.,.,125349.000000,44927.000000,,2.79005942974,102837,.,.,70277.000000,27125.000000,,2.59085714286,957,.,.,618.000000,325.000000,,1.90153846154,77126,.,.,54454.000000,17477.000000,,3.11575213137
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,ALL,*,QUAL,*,0.986108,0.990888,0.498096,0.988492,2130,0,182687039.000000,121049617.000000,0.000000,335801,.,.,184090.000000,117398.000000,,1.56808463517,331136,.,.,181916.000000,116358.000000,,1.56341635298,4665,.,.,2174.000000,1040.000000,,2.09038461538,708917,.,.,462802.000000,222716.000000,,2.07799170244,352566,.,.,225877.000000,116377.000000,,1.94090756765,3242,.,.,2195.000000,1018.000000,,2.15618860511,353109,.,.,234730.000000,105321.000000,,2.22871032368
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,PASS,*,QUAL,*,0.986108,0.990888,0.498096,0.988492,2130,0,182687039.000000,121049617.000000,0.000000,335801,.,.,184090.000000,117398.000000,,1.56808463517,331136,.,.,181916.000000,116358.000000,,1.56341635298,4665,.,.,2174.000000,1040.000000,,2.09038461538,708917,.,.,462802.000000,222716.000000,,2.07799170244,352566,.,.,225877.000000,116377.000000,,1.94090756765,3242,.,.,2195.000000,1018.000000,,2.15618860511,353109,.,.,234730.000000,105321.000000,,2.22871032368
INDEL,*,BadPromoters,ALL,*,QUAL,*,0.988506,0.988764,0.595455,0.988635,0,0,196648.000000,145209.000000,0.000000,87,.,.,47.000000,36.000000,,1.30555555556,86,.,.,46.000000,36.000000,,1.27777777778,1,.,.,1.000000,0.000000,,,220,.,.,124.000000,90.000000,,1.37777777778,88,.,.,50.000000,36.000000,,1.38888888889,1,.,.,1.000000,0.000000,,,131,.,.,73.000000,54.000000,,1.35185185185
INDEL,*,BadPromoters,PASS,*,QUAL,*,0.988506,0.988764,0.595455,0.988635,0,0,196648.000000,145209.000000,0.000000,87,.,.,47.000000,36.000000,,1.30555555556,86,.,.,46.000000,36.000000,,1.27777777778,1,.,.,1.000000,0.000000,,,220,.,.,124.000000,90.000000,,1.37777777778,88,.,.,50.000000,36.000000,,1.38888888889,1,.,.,1.000000,0.000000,,,131,.,.,73.000000,54.000000,,1.35185185185
INDEL,*,CMRGv1.00_duplicationinKMT2C,ALL,*,QUAL,*,0.0,0.0,0.949275,,0,0,16999.000000,2957.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,138,.,.,132.000000,1.000000,,132.0,0,.,.,0.000000,0.000000,,,7,.,.,7.000000,0.000000,,,131,.,.,125.000000,1.000000,,125.0
INDEL,*,CMRGv1.00_duplicationinKMT2C,PASS,*,QUAL,*,0.0,0.0,0.949275,,0,0,16999.000000,2957.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,138,.,.,132.000000,1.000000,,132.0,0,.,.,0.000000,0.000000,,,7,.,.,7.000000,0.000000,,,131,.,.,125.000000,1.000000,,125.0
