Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.988363,0.997109,0.421175,0.992717,1192,0,2796132093,2530411962.000000,0.000000,522389,.,.,293850.000000,194087.000000,,1.51401175761,516310,.,.,289971.000000,192716.000000,,1.50465451753,6079,.,.,3879.000000,1371.000000,,2.82932166302,932319,.,.,597216.000000,307979.000000,,1.93914520146,538090,.,.,334798.000000,192675.000000,,1.73763072531,1560,.,.,917.000000,609.000000,,1.50574712644,392669,.,.,261501.000000,114695.000000,,2.27996861241
INDEL,*,*,PASS,*,QUAL,*,0.988363,0.997109,0.421175,0.992717,1192,0,2796132093,2530411962.000000,0.000000,522389,.,.,293850.000000,194087.000000,,1.51401175761,516310,.,.,289971.000000,192716.000000,,1.50465451753,6079,.,.,3879.000000,1371.000000,,2.82932166302,932319,.,.,597216.000000,307979.000000,,1.93914520146,538090,.,.,334798.000000,192675.000000,,1.73763072531,1560,.,.,917.000000,609.000000,,1.50574712644,392669,.,.,261501.000000,114695.000000,,2.27996861241
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.993291,0.997855,0.518133,0.995568,414,0,83498987.000000,62521736.000000,0.000000,227600,.,.,126268.000000,85146.000000,,1.48295868273,226073,.,.,125198.000000,84933.000000,,1.4740795686,1527,.,.,1070.000000,213.000000,,5.0234741784,491524,.,.,316926.000000,158604.000000,,1.99822198684,236341,.,.,146529.000000,84891.000000,,1.72608403718,508,.,.,237.000000,261.000000,,0.908045977011,254675,.,.,170160.000000,73452.000000,,2.3166149322
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.993291,0.997855,0.518133,0.995568,414,0,83498987.000000,62521736.000000,0.000000,227600,.,.,126268.000000,85146.000000,,1.48295868273,226073,.,.,125198.000000,84933.000000,,1.4740795686,1527,.,.,1070.000000,213.000000,,5.0234741784,491524,.,.,316926.000000,158604.000000,,1.99822198684,236341,.,.,146529.000000,84891.000000,,1.72608403718,508,.,.,237.000000,261.000000,,0.908045977011,254675,.,.,170160.000000,73452.000000,,2.3166149322
INDEL,*,AllTandemRepeats_201to10000bp_slop5,ALL,*,QUAL,*,0.94237,0.987022,0.834375,0.964179,31,0,34889739.000000,12380476.000000,0.000000,5865,.,.,3466.000000,2117.000000,,1.63722248465,5527,.,.,3221.000000,2043.000000,,1.57660303475,338,.,.,245.000000,74.000000,,3.31081081081,34892,.,.,22025.000000,12322.000000,,1.7874533355,5704,.,.,3589.000000,2046.000000,,1.7541544477,75,.,.,48.000000,27.000000,,1.77777777778,29113,.,.,18388.000000,10249.000000,,1.79412625622
INDEL,*,AllTandemRepeats_201to10000bp_slop5,PASS,*,QUAL,*,0.94237,0.987022,0.834375,0.964179,31,0,34889739.000000,12380476.000000,0.000000,5865,.,.,3466.000000,2117.000000,,1.63722248465,5527,.,.,3221.000000,2043.000000,,1.57660303475,338,.,.,245.000000,74.000000,,3.31081081081,34892,.,.,22025.000000,12322.000000,,1.7874533355,5704,.,.,3589.000000,2046.000000,,1.7541544477,75,.,.,48.000000,27.000000,,1.77777777778,29113,.,.,18388.000000,10249.000000,,1.79412625622
INDEL,*,AllTandemRepeats_51to200bp_slop5,ALL,*,QUAL,*,0.970805,0.988522,0.595691,0.979583,362,0,30037113.000000,20562777.000000,0.000000,35074,.,.,19121.000000,10280.000000,,1.86001945525,34050,.,.,18531.000000,10153.000000,,1.82517482517,1024,.,.,590.000000,127.000000,,4.64566929134,95244,.,.,68196.000000,23932.000000,,2.84957379241,38066,.,.,26772.000000,10161.000000,,2.63478004133,442,.,.,321.000000,109.000000,,2.94495412844,56736,.,.,41103.000000,13662.000000,,3.00856389987
INDEL,*,AllTandemRepeats_51to200bp_slop5,PASS,*,QUAL,*,0.970805,0.988522,0.595691,0.979583,362,0,30037113.000000,20562777.000000,0.000000,35074,.,.,19121.000000,10280.000000,,1.86001945525,34050,.,.,18531.000000,10153.000000,,1.82517482517,1024,.,.,590.000000,127.000000,,4.64566929134,95244,.,.,68196.000000,23932.000000,,2.84957379241,38066,.,.,26772.000000,10161.000000,,2.63478004133,442,.,.,321.000000,109.000000,,2.94495412844,56736,.,.,41103.000000,13662.000000,,3.00856389987
INDEL,*,AllTandemRepeats_gt10000bp_slop5,ALL,*,QUAL,*,0.0,,1.0,,0,0,6726259.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,998,.,.,625.000000,367.000000,,1.7029972752,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,998,.,.,625.000000,367.000000,,1.7029972752
INDEL,*,AllTandemRepeats_gt10000bp_slop5,PASS,*,QUAL,*,0.0,,1.0,,0,0,6726259.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,998,.,.,625.000000,367.000000,,1.7029972752,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,998,.,.,625.000000,367.000000,,1.7029972752
