Task	User time (s)	System time (s)	CPU time (s)	Wall time (s)	Max RSS (KB)	Method
bwa_mem	258840.66	1495.57	260336.23	8254.0	9531932	grch37
samtools_sort	6049.9	356.12	6406.0199999999995	45412.0	5420568	grch37
leviosam_lift	11476.76	13236.3	24713.059999999998	3688.0	11985388	chm13_to_grch37
leviosam_collate	6889.47	73.68	6963.150000000001	7276.0	21838568	chm13_to_grch37
bwa_mem	138730.41	677.45	139407.86000000002	3990.0	38601220	chm13_to_grch37
samtools_view	863.28	44.64	907.92	3990.0	20428	chm13_to_grch37
samtools_sort	2479.92	64.07	2543.9900000000002	3808.0	31617320	chm13_to_grch37
samtools_sort	2357.73	53.75	2411.48	4104.0	31676472	chm13_to_grch37
leviosam_cherry_pick	1301.91	20.24	1322.15	1329.07	21212	chm13_to_grch37
samtools_cat	0.42	44.79	45.21	280.78	3912	chm13_to_grch37
samtools_sort	5532.6	151.44	5684.04	6616.0	32499180	chm13_to_grch37
