Task	User time (s)	System time (s)	CPU time (s)	Wall time (s)	Max RSS (KB)	Method
bwa_mem	303268.82	1094.72	304363.54	9617.0	10153904	grch38
samtools_sort	5975.41	370.28	6345.69	46175.0	5424072	grch38
leviosam_lift	12030.56	11431.14	23461.699999999997	3416.42	12003036	chm13_to_grch38
leviosam_collate	7050.2	121.3	7171.5	7463.0	35880036	chm13_to_grch38
bwa_mem	127711.26	560.73	128271.98999999999	3695.0	33231500	chm13_to_grch38
samtools_view	791.05	37.93	828.9799999999999	3695.0	20448	chm13_to_grch38
samtools_sort	2484.88	75.87	2560.75	5305.0	31701784	chm13_to_grch38
samtools_sort	2470.48	78.3	2548.78	5319.0	31646056	chm13_to_grch38
leviosam_cherry_pick	1239.79	19.62	1259.4099999999999	1285.56	21224	chm13_to_grch38
samtools_cat	0.42	46.97	47.39	413.84000000000003	3980	chm13_to_grch38
samtools_sort	5639.18	139.88	5779.06	2092.86	32326348	chm13_to_grch38
