"name","Type","Sample","TRUTH.TP","TRUTH.FN","QUERY.FP","METRIC.Recall","METRIC.Precision","METRIC.F1_Score"
"GRCh38","SNP","HG002",3343863,21263,3436,0.993681,0.998974,0.996321
"GRCh38","INDEL","HG002",521223,4244,1506,0.991923,0.997236,0.994572
"CHM13-to-GRCh38","SNP","HG002",3348636,16490,4881,0.9951,0.998545,0.99682
"CHM13-to-GRCh38","INDEL","HG002",521209,4258,1548,0.991897,0.997159,0.994521
"GRCh37","SNP","HG002",3310312,42373,5059,0.987361,0.998475,0.992887
"GRCh37","INDEL","HG002",516310,6079,1560,0.988363,0.997109,0.992717
"CHM13-to-GRCh37","SNP","HG002",3318525,34160,4935,0.989811,0.998516,0.994144
"CHM13-to-GRCh37","INDEL","HG002",516527,5862,1561,0.988778,0.997109,0.992926
"GRCh38","SNP","HG001",3236508,17864,5417,0.994511,0.99833,0.996417
"GRCh38","INDEL","HG001",464178,3515,1609,0.992484,0.996674,0.994575
"CHM13-to-GRCh38","SNP","HG001",3240822,13550,6144,0.995836,0.998109,0.996971
"CHM13-to-GRCh38","INDEL","HG001",464175,3518,1626,0.992478,0.996639,0.994554
"GRCh37","SNP","HG001",3213802,38041,6937,0.988302,0.997847,0.993051
"GRCh37","INDEL","HG001",461638,5237,1637,0.988783,0.996597,0.992675
"CHM13-to-GRCh37","SNP","HG001",3222057,29786,6364,0.99084,0.99803,0.994422
"CHM13-to-GRCh37","INDEL","HG001",461883,4992,1623,0.989308,0.996628,0.992954
"GRCh38","SNP","HG005",3252741,22873,4588,0.993017,0.998592,0.995797
"GRCh38","INDEL","HG005",413826,2942,993,0.992941,0.99768,0.995305
"CHM13-to-GRCh38","SNP","HG005",3257464,18150,5812,0.994459,0.99822,0.996336
"CHM13-to-GRCh38","INDEL","HG005",413844,2924,1021,0.992984,0.997615,0.995294
"GRCh37","SNP","HG005",3226258,39731,5227,0.987835,0.998383,0.993081
"GRCh37","INDEL","HG005",409352,4473,969,0.989191,0.997712,0.993433
"CHM13-to-GRCh37","SNP","HG005",3234784,31205,5309,0.990445,0.998362,0.994388
"CHM13-to-GRCh37","INDEL","HG005",409619,4206,987,0.989836,0.997671,0.993738
